title,volume,year,floor,row,section,notes
"Proceedings. Conference of the Secretary of the Department of Health, Education, and Welfare …",,1960,4th Floor,Row B,,
Proceedings. Conference on Graduate Education in Oral Surgery,v2-5,1963,4th Floor,Row B,,
Proceedings. Conference on Neurobiology,v1,1957-1965,4th Floor,Row B,,
Proceedings. Institute on Preventive Psychiatry,v1-5,1964,4th Floor,Row B,,
Proceedings…Japan Rheumatism Association,v8,1950-53,4th Floor,Row B,,
Proctology,v15-18,1964-72,4th Floor,Row B,,
Produits Et Problemes Pharmaceutiques,v19-27,1946-1949,4th Floor,Row B,,
Produits Pharmaceutiques,,1950 unbound,1st Floor,Row O,,
Produits Pharmaceutiques,"v5, no.1-12",1953 unbound,4th Floor,Row B,,
Produits Pharmaceutiques,v7-8,1953-55 bound,4th Floor,Row B,,
Produits Pharmaceutiques,"v8-10,",1960 unbound,4th Floor,Row B,,
Produits Pharmaceutiques,v15,1934,4th Floor,Row B,,
Professional Bulletin,,1974-75,1st Floor,Row O,,
Professional Psychology,v5-6,1957-65,4th Floor,Row B,,
Professional Relations,v1-9,,4th Floor,Row B,,
Professional Staff Proceedings,,1946,1st Floor,Row O,,
Professional Staff Proceedings of the Halloran General Hospital,,"1924-1925, 1928",1st Floor,Row O,,
Profilaktiseskaya Meditsina,,1932-1949,1st Floor,Row O,,
Profilassi,,1950-57,1st Floor,Row O,,
Profilassi,v23-30,1990-2001,4th Floor,Row B,,
Prog. Nucleic Acid Research and Molecular Biol.,,1974-75,AR,SHELF RANGE 5- Side A,,
Program (Abstracts of the) Contractors' Conference Artifical Kidney-Chronic Uremia Program,v7-8,1946-53,4th Floor,Row B,,
Program … American Society of Clinical Investigation,v38-45,"1972-73,75,1977,1979-94",4th Floor,Row B,,
Program and Abstracts Interscence Conference on Antimicrobial Agents and Chemotherapy,"v12-13,15,17, 19-34","1962,65-66-68",4th Floor,Row B,,
Program and Abstracts of the Society for Pediatric Research,"v32,35-37",2002-2003,4th Floor,Row B,,
Program/Proceedings/American Society of Clinical Oncology,v21-22,"1976-1983,1988",4th Floor,Row B,,
"Programme, Proceedings/Canadian Federation of Biological Societies","v19-26,31",1958,4th Floor,Row B,,
Progres,,1876-1907,1st Floor,Row O,,
Progres Dentaire,,"1873, 1950-1972",1st Floor,Row O,,
Progres Medical,"1, 78-100",1973-1981,4th Floor,Back Wall (started at East End),,
Progres Medical,101-109,1929,4th Floor,Bookshelf Between Ranges F and G at South End,,
Progres Medical,,1902-1915,1st Floor,Row O,,
Progres Medical Belge,,1932-1937,1st Floor,Row O,,
Progreso Dental,,1884-1889,1st Floor,Row O,,
Progreso Ginecologico,,1889-1902,1st Floor,Row O,,
Progreso Medico,,1944,1st Floor,Row O,,
Progresos Anuales en la Practica Medicoquirurgica,,1913-1935,1st Floor,Row O,,
Progresos de la Clinica,,1962,1st Floor,Row O,,
Progresos de Pathologia y Clinica,v.9,1922-1925,4th Floor,Row B,,
Progresos Odontologicos,,1886-1889?,1st Floor,Row O,,
Progress,,1930-1933,1st Floor,Row O,,
Progress,,1904-1909,1st Floor,Row O,,
Progress (Denver),,1923,1st Floor,Row O,,
Progress (London),,"1939, 1949",1st Floor,Row O,,
Progress and Allergy,,1952-88,1st Floor,Row O,,
Progress in Allergy,v1-45,1965-90,4th Floor,Row B,,
Progress in Biochemical Pharmacology,v1-24,1964-66,4th Floor,Row B,,
Progress in BioCybernetics,v1-3,1987,4th Floor,Row B,,
Progress in Biometeorology,v5,1950-91,4th Floor,Row B,,
Progress in Biophysics and Molecular Biology,v1-56,1972-87,4th Floor,Row B,,
Progress in Cardiology,v1-15,1958-1993,4th Floor,Row B,,
Progress in Cardiovascular Diseases,v1-35,1963-1974,4th Floor,Row B,,
Progress in Chemical Toxciology,v1-5,1924-1925,4th Floor,Row B,,
Progress in Chemotherapy,,1972-1980,1st Floor,Row O,,
Progress in Clincal Immunology,v1-4,1952-1971,4th Floor,Row B,,
Progress in Clincal Psychology,v1-9,1965-1982,4th Floor,Row B,,
Progress in Clinical Cancer,v1-8,1966-1984,4th Floor,Row B,,
Progress in Clinical Pathology,v1-9,1969-1975,4th Floor,Row B,,
Progress in Community Mental Health,1-3,1965-1968,4th Floor,Back Wall (started at East End),,
Progress in Conception Control,v1-4,1969-2000,4th Floor,Row B,,
Progress in Drug Research,v13-55,1964-1979,4th Floor,Row B,,
Progress in Experimental Personality Research,v1-9,1960-1999,4th Floor,Row B,,
Progress in Experimental Tumor Research,v1-36,1975-1991,4th Floor,Row B,,
Progress in Food and Nutrition Science,v1-15,1968-1983,4th Floor,Row B,,
Progress in Gastroenterology,v1-4,1956-1987,4th Floor,Row B,,
Progress in Hematology,v1-15,1972-1991,4th Floor,Row B,,
Progress in Hemostasis and Thrombosis,v1-10,1970-1991,4th Floor,Row B,,
Progress in Histochemistry and Cytochemistry,v1-22,1959-1978,4th Floor,Row B,,
Progress in Industrial Microbiology,v1-14,1961-1990,4th Floor,Row B,,
Progress in Liver Diseases,v1-9,1976-85,4th Floor,Row B,,
Progress in Medical Genetics - new series,v1-6,1961-1974,4th Floor,Row B,,
Progress in Medical Genetics - old series,v1-10,1958-1993,4th Floor,Row B,,
Progress in Medical Virology,v1-40,1961-1988,4th Floor,Row B,,
Progress in Medicinal Chemistry,v1-25,1969-1990,4th Floor,Row B,,
Progress in Molecular and Subcellular Biology,v1-11,1983-84,4th Floor,Row B,,
Progress in Neurobiology,v21-22,1946-1949,4th Floor,Row B,,
Progress in Neurology and Psychiatry,,1950-1973,1st Floor,Row O,,
Progress in Neurology and Psychiatry,v5-28,"1956, 1959",4th Floor,Row B,,
Progress in Nuclear Energy,v1-2,1972-1984,4th Floor,Row B,,
Progress in Nuclear Medicine,v1-8,1963-2001,4th Floor,Row B,,
Progress in Nucleic Acid Research and Molecular Biology,v1-68,"1943, 1945",4th Floor,Row B,,
Progress in Nutrition,,1952-1981,1st Floor,Row O,,
Progress in Ophthalmology and Otolaryngology,v1-7,1970-1991,4th Floor,Row B,,
Progress in Pediatric Surgery,v1-28,1975-1988,4th Floor,Row B,,
Progress in Pharmacology,v1-6,1989-1990,4th Floor,Row B,,
Progress in Pharmacology and Clinical Pharmacology,v7-8,1966-1990,4th Floor,Row B,,
Progress in Physiological Psychology,v1-14,1956-1960,4th Floor,Row B,,
Progress in Psychotherapy,v1-5,1976-1990,4th Floor,Row B,,
Progress in Reproductive Biology,v1-14,1961-1988,4th Floor,Row B,,
Progress in Surgery,v1-19,"1952, 1978",4th Floor,Row B,,
Progress in the Chemistry of Fats and other Lipids,"v1, 16",1950,4th Floor,Row B,,
Progress Notes,v1,1970,4th Floor,Row B,,
Progress of Allergology in Japan,v1,1899,4th Floor,Row B,,
Progress of Medicine,,1927-1933,1st Floor,Row O,,
Progress of the Medical Assoication of Montana,,1912-1914,1st Floor,Row O,,
Progressive Dentist,,1899-1931,1st Floor,Row O,,
Progressive Medicine,,1937,1st Floor,Row O,,
Progressive Medicine,,1927-1932,1st Floor,Row O,,
Progressive Midwife,,1914,1st Floor,Row O,,
Progressive Physician,,1957,1st Floor,Row O,,
Progresso de Terapeutica Clinica,v10,1948,4th Floor,Row B,,
Progresso Medico,,"1950, 1952, 1959-1985",1st Floor,Row O,,
Progresso Medico,,1951,AR,SHELF RANGE 5- Side A,,
Progresso Medico,v7,1898-1904,4th Floor,Row B,,
Progresso Terapeutico,,1949,1st Floor,Row O,,
Progresso Terapeutico,,1957-1962,1st Floor,Row O,,
Project News,v1-6,1974-1980,4th Floor,Row B,,
Prolactin,,"1929-1932, 1936",4th Floor,Row B,,
Prolaktichna Meditsina,,1993-2007,1st Floor,Row O,,
Promotion & Education,v1-14,1917-1946,4th Floor,Row B,,
Proofs,,1827,1st Floor,Row O,,
Propagador das Sciencias Medicas,,1909-1914,1st Floor,Row O,,
Propaganda Antimalarica,,1904-1909,1st Floor,Row O,,
Propaganda Homeopatica,,1907,1st Floor,Row O,,
Propaganda Sanitaria,,1928-1929,1st Floor,Row O,,
Propagateur de la Hmeopatie,,1923-1927,1st Floor,Row O,,
Prophylaktischestaia Meditzina,,1962,1st Floor,Row O,,
Prophylaxe und Therapie Wein,v1,1931-1949,4th Floor,Row B,,
Prophylaxie Antivenerienne,,1925-1931,1st Floor,Row O,,
Prophylaxie Mentale,,1909-1914,1st Floor,Row O,,
Prophylaxis,,1943,1st Floor,Row O,,
Proprietary Drugs,,1972-1997,1st Floor,Row O,,
Prostaglandins,v1-54,1980-2000,4th Floor,Row B,,
Prostate,v1-46,1958,4th Floor,Row B,,
Prostheses Braces and Technical Aids,no. 3 ,1977-2002,4th Floor,Row B,,
Prosthetics and Orthotics International,v1-26,"1922,1925-26, 1932",4th Floor,Row B,,
Protesico Dental,,1939-1948,1st Floor,Row O,,
Protesis,,1933-1935,1st Floor,Row O,,
Protesis,,"19,531,955",1st Floor,Row O,,
Protesis,v16-17,1969-1982,4th Floor,Row B,,
Protetyka Stomatolgiczna,,1931,AR,SHELF RANGE 5- Side A,,
Proteus,,1966-1970,1st Floor,Row O,,
Protezirovanie Protezostroenie,,1884-1900,AR,SHELF RANGE 5- Side A,,
Protokol Zasedaniya Imperatorskajo,,1943,1st Floor,Row O,,
Protokoly  Zasedanya Naucnykh (Leningrad),,"1924, 1926",1st Floor,Row O,,
Protokoly Naucnykh Zasedaniya (Leningrad),,1926-1944,1st Floor,Row O,,
Protoplasma,,1949-1979,1st Floor,Row O,,
Protoplasma,v39-101,1949-1979,4th Floor,Row B,,
Protoplasma,v39-101,"1928-1949, 1954",4th Floor,Row C,,
Protoplasma Monographian,,1877,1st Floor,Row O,,
Provence Medicale,,1964-1970,1st Floor,Row O,,
Providence Hospital of Southfield Medical Bulletin,v1-3,1900-1916,4th Floor,Row C,,
Providence Medical Journal,,"1920-1930, 1938",1st Floor,Row O,,
Province Dentaire,,1886-1914,1st Floor,Row O,,
Province Medicale,,1829,1st Floor,Row O,,
Provincial Medical Gazette,,1829,1st Floor,Row O,,
Provincial Medical Gazette,,1840-1852,1st Floor,Row O,,
Provinicial Medical and Surgical Journal,,1886-1895,1st Floor,Row O,,
Provinicial Medical Journal,,1928-1929,1st Floor,Row O,,
Prumysl Potravinarsky,,1954-1959,1st Floor,Row O,,
Przeglad Antropologiczny,,"1926-1930, 1948-1949",AR,SHELF RANGE 5- Side A,,
Przeglad Antropologiczny,,1893,1st Floor,Row O,,
Przeglad Chirurgiczny,,1921-1930,1st Floor,Row O,,
Przeglad Dentystyczny,,1959-1988,1st Floor,Row O,,
Przeglad Dermatol.,,1956-1958,AR,SHELF RANGE 5- Side A,,
Przeglad Dermatol. Wenerol,,1932-1939,AR,SHELF RANGE 5- Side A,,
Przeglad Dermatologiczny,,1953-1987,1st Floor,Row O,,
Przeglad Epidemiol.,,1920-1922,AR,SHELF RANGE 5- Side A,,
Przeglad Epidemjologiczny,,1862-1921,1st Floor,Row O,,
Przeglad Lekarski,,1964,1st Floor,Row O,,
Przeglad Lekarski,v20 ,1951-1988,4th Floor,Row C,,
Przeglad Lekarski,,1949,AR,SHELF RANGE 5- Side A,,
Psiche,,1888-1890,1st Floor,Row O,,
Psichiatria,,1939-1945,1st Floor,Row O,,
Psicotecnia,,"1961, 1963",1st Floor,Row O,,
Psiquiatria,"v1,3",1936,4th Floor,Row C,,
Psiquiatria y Kriminologia,,1947-1949,1st Floor,Row O,,
Psiquis,,1951-1956,1st Floor,Row O,,
Psiquis,v1-7,1858-1862,4th Floor,Row C,,
Psyche,,1921-1949,1st Floor,Row O,,
Psyche,,1950-1978,1st Floor,Row O,,
Psyche,v57-85,1920-1922,4th Floor,Row C,,
Psyche and Eros,,1956-1981,1st Floor,Row O,,
Psyche Stutgart,,1968-1983,AR,SHELF RANGE 5- Side A,,
Psychiatria Clinica,,1957-1967,AR,SHELF RANGE 5- Side A,,
Psychiatria et Neurologia,,1970-1981,AR,SHELF RANGE 5- Side A,,
Psychiatria Francaise,,1960-1972,AR,SHELF RANGE 5- Side A,,
Psychiatria Neurologia Neuro-Chirurgia,,1970-1978,AR,SHELF RANGE 5- Side A,,
Psychiatria Phennica,,1967-1988,AR,SHELF RANGE 5- Side A,,
Psychiatria Polska,,"1963, 1973",AR,SHELF RANGE 5- Side A,,
"Psychiatria, Neurologia, Neurochirurgia","v66, 76",1959-1963,4th Floor,Row C,,
Psychiatric Abstracts,v1-11,"1946, 1948",4th Floor,Row C,,
Psychiatric Aid,,1916-1917,1st Floor,Row O,,
Psychiatric Bulletin,,1951-1958,1st Floor,Row O,,
Psychiatric Bulletin,v1-7,1978-2003,4th Floor,Row C,,
Psychiatric Clinics,v1-26,1986-1988,4th Floor,Row C,,
Psychiatric Hospital,v17-19,1985-1992,4th Floor,Row C,,
Psychiatric Medicine,v3-10,1979-1984,4th Floor,Row C,,
Psychiatric Medicine Update,,1941,4th Floor,Row C,,
Psychiatric Monographs,,1927-1949,1st Floor,Row O,,
Psychiatric Quarterly,,1950-2000,1st Floor,Row O,,
Psychiatric Quarterly,v24-71,1927-1949,4th Floor,Row C,,
Psychiatric Quarterly Supplement,,1950-1964,1st Floor,Row O,,
Psychiatric Quarterly Supplement,v24-38,1955-1968,4th Floor,Row C,,
Psychiatric Research Reports,v1-24,1995-2000,4th Floor,Row C,,
Psychiatric Services,v46-51,1936-1937,4th Floor,Row C,,
Psychiatrica et Neurologia Japonica,,1899-1944,1st Floor,Row O,,
Psychiatrische  Nurolgosche Woshenschrift,,1897-1947,1st Floor,Row O,,
Psychiatrische et Nurolgosche Bladen,,1871-1877,1st Floor,Row O,,
Psychiatrisches Centralblatt,,1938-1951,1st Floor,Row O,,
Psychiatry,,1977-2000,1st Floor,Row O,,
Psychiatry,,1950-1976,1st Floor,Row X,,
Psychiatry,v13-39,1995-2003,4th Floor,Row C,,
Psychiatry and Clinical NeuroSciences,v49-57,1963-1975,4th Floor,Row C,,
Psychiatry Digest,v24-36,1970-1972,4th Floor,Row C,,
Psychiatry in Medicine,v1-3,1979-1992,4th Floor,Row C,,
Psychiatry Research,v1-45,1982-1987,4th Floor,Row C,,
Psychiatry Update,v1-6,1928-1931,4th Floor,Row C,,
Psychic Research,,1920-1921,1st Floor,Row O,,
Psychic Research Quarterly,,1973,1st Floor,Row O,,
PsychicDependence,v4,1966-1975,4th Floor,Row C,,
Psycho Analytic Forum,v1-5,1952-1958,4th Floor,Row C,,
Psycho-Analysis,v1-6,1958-1962,4th Floor,Row C,,
Psycho-Analysis and Psycho-Analytic Review,v45-49,1947,4th Floor,Row C,,
Psychoanalysis and the Social Sciences,,1950-1958,1st Floor,Row O,,
Psycho-Analysis and the Social Sciences,v2-5,1950-2000,4th Floor,Row C,,
PsychoAnalytic  Quarterly,v19-69,"1932-1949, 1953",4th Floor,Row C,,
Psychoanalytic Quarterly,,1913-1949,1st Floor,Row O,,
Psychoanalytic Review,,1950-1997,1st Floor,Row O,,
PsychoAnalytic Review,v37-84,1950-2002,4th Floor,Row C,,
PsychoAnalytic Study of Child,v5-57,1945-1970,4th Floor,Row C,,
PsychoAnalytic Study of Child - Abstracts and Index,v1-25,1960-1979,4th Floor,Row C,,
PsychoAnalytic Study of Society,v1-8,1945-1949,4th Floor,Row C,,
Psychoanalytic Study of the Child,,1930-1933,1st Floor,Row O,,
Psychoanlitische Bewegung,,1931-1933,1st Floor,Row O,,
Psychoanlitische Praxis,,1947,1st Floor,Row O,,
Psycho-Biologie della Infante,,1917-1920,1st Floor,Row O,,
Psychobiology,,"1916-1920, 1944",1st Floor,Row O,,
Psychogram,,1928-1932,1st Floor,Row O,,
Psycholgoie und Medizin,,1967-1976,1st Floor,Row P,,
Psychologia,,1960,AR,SHELF RANGE 5- Side A,,
Psychologia. Interntional Journal of Psychology in the Orient,v3,1875,4th Floor,Row C,,
Psychological and Medico-Legal Journal,,1989-990,1st Floor,Row O,,
Psychological Assessment,v1-2,1904-1949,4th Floor,Row C,,
Psychological Bulletin,,1950-2000,1st Floor,Row O,,
Psychological Bulletin,v47-126,1907-1935,4th Floor,Row C,,
Psychological Clinic,,1932-1935,1st Floor,Row O,,
Psychological Exchange,,1894-1928,1st Floor,Row O,,
Psychological Index,,1959-1978,1st Floor,Row O,,
Psychological Issues,v1-12,1980-1990,4th Floor,Row C,,
Psychological Issues - monographs,mon.49-57,1970-2000,4th Floor,Row C,,
Psychological Medicine,v1-30,1909-1949,4th Floor,Row C,,
Psychological Monographs,,1950-1966,1st Floor,Row O,,
Psychological Monographs,v64-80,1957,4th Floor,Row C,,
Psychological Record,v7,1959-1980,4th Floor,Row C,,
Psychological Record,9-30,1968-2000,4th Floor,Back Wall (started at East End),,
Psychological Reports,v22-87,1974-1979,4th Floor,Row C,,
Psychological Research,v37-40,1950-1998,4th Floor,Row C,,
Psychological Review,v57-105,1894-1948,4th Floor,Row C,,
Psychological Review,,1895-1935,1st Floor,Row O,,
Psychological Review (Psychological Index),,1895-1909,1st Floor,Row O,,
Psychological Review Monograph Supplement,,1909-1913,1st Floor,Row O,,
Psychologie,,1920-1921,1st Floor,Row O,,
Psychologie Appliquee,,1925-1927,1st Floor,Row O,,
Psychologie und Medizin,,1896-1928,1st Floor,Row O,,
Psychologische Arbeiten,,1949-1974,1st Floor,Row P,,
Psychologische Forch.,,1921-1938,AR,SHELF RANGE 5- Side A,,
Psychologische Forscheung,,1943-1948,1st Floor,Row P,,
Psychologische Praxis,,1949-1980,1st Floor,Row P,,
Psychologische Praxis,,1929,AR,SHELF RANGE 5- Side A,,
Psychologische Rundeschau,,1904-1918,1st Floor,Row P,,
Psychologische Studien,,1964-1999,1st Floor,Row P,,
Psychology,v1-36,1986-2000,4th Floor,Row C,,
Psychology and Aging,v1-15,1950-1978,4th Floor,Row C,,
Psycholometrike,,1965-1981,AR,SHELF RANGE 5- Side A,,
Psycholopathol. Africaine,,1936-1949,AR,SHELF RANGE 5- Side A,,
Psychometrika,,1984-1998,1st Floor,Row P,,
Psychopathology,v17-31,1959-1976,4th Floor,Row C,,
Psychopharmacologia,,1967,AR,SHELF RANGE 5- Side A,,
PsychoPharmacologica,v11,1976-1991,4th Floor,Row C,,
PsychoPharmacology,v47-105,1964-1996,4th Floor,Row C,,
PsychoPharmacology Bulletin,v3-32,1960-1965,4th Floor,Row C,,
PsychoPharmacology Service Center Bulletin,v1-2,1963-64,4th Floor,Row C,,
PsychoPhysiologie,v1-2,1964-2005,4th Floor,Row C,,
PsychoPhysiology,v1-42,1939-1949,4th Floor,Row C,,
Psychosomatic Medicine,,"1950-1994,1998, ",1st Floor,Row P,,
Psychosomatic Medicine,"v12-56,60,  ",1939-1944,4th Floor,Row C,,
Psychosomatic Medicine Monographs,,1960-2004,1st Floor,Row P,,
Psychosomatics,v1-45,1956-58,4th Floor,Row C,,
PsychoTherapie,v1-3,1974-1981,4th Floor,Row C,,
"Psychotherapie, medizinische Psychologie",v24-29,1963-1997,AR,SHELF RANGE 5- Side A,,
PsychoTherapy,v1-34,1909,4th Floor,Row C,,
Psychotherapy,,1965-1990,1st Floor,Row P,,
PsychoTherapy and PsychoSomatics,v13-54,1955-56,4th Floor,Row C,,
PsychoTherapy -Journlal of the Robbins Institute,v1,"1989-1996, 1998, 2000-2007",4th Floor,Row C,,
PsychoTropic Substances,,1968-1976,4th Floor,Row C,,
Psychsomat. Medizin,,1934-1937,AR,SHELF RANGE 5- Side A,,
Psychtherapeutische Praxis,,1935,1st Floor,Row P,,
Psykiska Hygin,,1921-1926,1st Floor,Row P,,
PT Review,,1922-1925,1st Floor,Row P,,
Pubblicazioni della R Clinica OtoRinoLaringoiatrica,,1876,1st Floor,Row P,,
Pubblicazioni della R Instituto di Studi Superiore Practici,,1923-1924,1st Floor,Row P,,
Pubblicazioni della R Universita di Palermo,,1919-1930,1st Floor,Row P,,
Pubblicazioni della Stazione Zoologica,,1927 ??-1938,1st Floor,Row P,,
Pubblicazioni della Universita Cattolica del Sacro Cuore Scienze Biologische,,yr ??,1st Floor,Row P,,
Pubblicazioni della Universita Cattolica del Sacro Cuore Scienze Filosfiche,1,1928??-1937 ??,1st Floor,Row P,,
Pubblicazioni della Universita Cattolica del Sacro Cuore Statistica,,1925-1935,1st Floor,Row P,,
Pubblicazioni Stazione Sper PL Lotta Antimalarica,,1937,1st Floor,Row P,,
Public Healht South Africa,,1889-1949,1st Floor,Row P,,
Public Health,,1951-1959,1st Floor,Row P,,
Public Health (Johannesburg),v15-25,1949-2000,4th Floor,Row C,,
Public Health (London),v63-114,1879,4th Floor,Row C,,
Public Health (New York),,1896-1904,1st Floor,Row P,,
Public Health (Philadelphia),,1960-62,1st Floor,Row P,,
Public Health (Volksgesonheid.) (Johannesburg),v60-62,1903-1949,4th Floor,Row C,,
Public Health Bulletin,,1962,1st Floor,Row P,,
Public Health Databook,v1,1960-1964,4th Floor,Row C,,
Public Health Dentistry,v20-24,1950-1963,4th Floor,Row C,,
Public Health Economics,,1944-1949,AR,SHELF RANGE 5- Side A,,
Public Health Economincs,,"1923, 1931, 1932",1st Floor,Row P,,
Public Health Federation,,"1896, 1898-1901",1st Floor,Row P,,
Public Health Journal,,1910-1928,1st Floor,Row P,,
Public Health Journal,,1948,1st Floor,Row P,,
Public Health Laboratory,,1940-1961,1st Floor,Row P,,
Public Health Laboratory,,1916-1923,AR,SHELF RANGE 5- Side A,,
Public Health Leaflet,,1906-1922,1st Floor,Row P,,
Public Health Michigan,,1952-1968,1st Floor,Row P,,
Public Health Monograph,,1930,AR,SHELF RANGE 5- Side A,,
Public Health News Okland California,,1915-1949,1st Floor,Row P,,
Public Health News Trenton,,1950-1971,1st Floor,Row P,,
"Public Health News, New Jersey",,1961,AR,SHELF RANGE 5- Side A,,
Public Health NewsLetter,v11,1954-55,4th Floor,Row C,,
Public Health NewsLetter,v35-36,1962-1967,4th Floor,Row C,,
Public Health Notes,v4-9,1950-52,4th Floor,Row C,,
Public Health Nursing,v42-44,1909-1952,4th Floor,Row C,,
Public Health Nursing Index,,1873-1912,4th Floor,Row C,,
"Public Health Papers and Reports, APHA",,1868,1st Floor,Row P,,
Public Health Record and Review,,1896-1949,1st Floor,Row P,,
Public Health Reports,,1950-2000,1st Floor,Row P,,
Public Health Reports,v65-115,1948-50,4th Floor,Row C,,
Public Health Reports Supplement,"v194, 204-213",1913-1947,4th Floor,Row C,,
Public Health Reports Supplements,,1935-1941,1st Floor,Row P,,
Public Health Reviews,,1955,1st Floor,Row P,,
Public Health Reviews,v 3,1869,4th Floor,Row C,,
Public Health UK,,1876-1877,1st Floor,Row P,,
Public Helath Magazine and Literary Review,,1945,1st Floor,Row P,,
Public Relations News,,1945,1st Floor,Row P,,
Public Services Monograph,,1949-78,1st Floor,Row P,,
Public Welfare,v7-36,1938-1940,4th Floor,Row C,,
Public Welfare in Louisiana,,1943-1948,1st Floor,Row P,,
Public Wellfare,,1945,1st Floor,Row P,,
Public Wellfare (Wisconsin),,1938-1942,1st Floor,Row P,,
Public Wellfare News,,1925-1931,1st Floor,Row P,,
Public Wellfare Progress,,1938-1944,1st Floor,Row P,,
Publicacion Instituto de Infirmidades Infeccticiosas Buenos Aires,,"1938-1944, 1949",1st Floor,Row P,,
Publicacion Instituto de Paricitologia,,1938?,1st Floor,Row P,,
Publicacion Instituto di Zootecnia,,1935,1st Floor,Row P,,
Publicacion Ministerio del Interio Argentina,,1952-53,1st Floor,Row P,,
"Publicacion, Escuela de Veterinaria Facultad de Agronomia y Veterinaria. Universidad de Buenos Aires",n0.5-6,1958,4th Floor,Row C,,
Publicaciones de Anatomia,v3,1950-59,4th Floor,Row C,,
Publicaciones de la Division de Malariologia,v9-11,1946-1947,4th Floor,Row C,,
Publicaciones de Medicina Experimantal,,1939-1948,1st Floor,Row P,,
Publicaciones del Centro de Investigaciones Tisiologicas,,1951-1955,1st Floor,Row P,,
Publicaciones del Centro de Investigaciones Tisiologicas,,1954-1956,AR,SHELF RANGE 5- Side A,,
Publicaciones del Centro Medico de Caracus,,1935-1947,AR,SHELF RANGE 5- Side A,,
Publicaciones del Instituto Antituberculosis,,1950-51,1st Floor,Row P,,
Publicaciones del Instituto de Patologia General del Norte,"v1, no2-4",1924-1936,4th Floor,Row C,,
Publicaciones del Instituto Ravetllat,,1938-1948,1st Floor,Row P,,
Publicaciones dela Division de Malariologia,,1933,1st Floor,Row P,,
Publicaciones Departamento Sientifico del Consejo de Salud Publica,,1943-1947,1st Floor,Row P,,
Publicaciones Fundcion Biogen,,1951,1st Floor,Row P,,
Publicaciones Instituto de Investigacion de Ciencias Biologicas,v1,"1935-1946, 1948",4th Floor,Row C,,
Publicaciones Medicas,,1947-1960,1st Floor,Row P,,
Publicaciones medicas,,1953,AR,SHELF RANGE 5- Side A,,
Publicacoes Avulsas do…,v2,1956,4th Floor,Row C,,
Publicacoes de Anatomia,v1,1927-1929,4th Floor,Row C,,
Publicacoes del Instituto Anatomico,,1961-1975,1st Floor,Row P,,
Publicacoes do Centro de Estudos Leprologicos,,"1941-1942, 1945-1946",AR,SHELF RANGE 5- Side A,,
Publicacoes Farmaceuticas,,1929-1947,1st Floor,Row P,,
Publicacoes Medicas,,1961-1962,1st Floor,Row P,,
Publicacoes Medicas,"v32, no.209-210- v33, no. 211-213 ",1945?,4th Floor,Row C,,
Publicaion Institution di Fiziologia Buenos Aires,,1940-1945,1st Floor,Row P,,
Publication Institut Pasteur de la Guyane…,,1943-1946,1st Floor,Row P,,
Publication Josiah Macy Jr. Foundation,,1976-1983,1st Floor,Row P,,
Publication of the Group for the Advancement of Psychiatry,v9-11,1946-1950,4th Floor,Row C,,
"Publication, Institut Pasteur de la Guyane et du Territoire de L'Inini",,1938-1950,4th Floor,Row C,,
Publications Americna Association Advancement of Science,,1953-1963,1st Floor,Row P,,
Publications del Instituto AntiTuberculoso Francisco Moragis,,1911-1912,AR,SHELF RANGE 5- Side A,,
Publications from the University of Pittsburg School of Medicine,,1910-1914,1st Floor,Row P,,
Publications Medical Faculty Queens University,,1901-1902,1st Floor,Row P,,
Publications of Ccrnell University Medical College Pathology,,1905-1911,1st Floor,Row P,,
Publications of Cornell University Medical College,,1904-1907,1st Floor,Row P,,
Publications of Cornell University Medical College Neurology,,1935-1950,1st Floor,Row P,,
Publications of Saratoga Spa,,1905-1913,1st Floor,Row P,,
Publications of the Massachusetts General Hospital,,1840-1888,1st Floor,Row P,,
Publications of the Massachusetts Homeopathic Medical Society,,1856-1871,1st Floor,Row P,,
Publications of the Massachusetts Medical Society,,1931,1st Floor,Row P,,
Publications of the National Quarantine Service Republic of China,,1917,1st Floor,Row P,,
Publications of the Pennsylvania Institution for the Instruction of the Blind,," 1918-1919, ",1st Floor,Row P,,
"Publications of the Red Cross Institute for Crippled and Disabled Men, Series 1",,1918-11919,1st Floor,Row P,,
"Publications of the Red Cross Institute for Crippled and Disabled Men, Series 2",,1909,1st Floor,Row P,,
Publications of the Russell Sage Institute of Pathology,,"1961, 1962, 1966, 1968",1st Floor,Row P,,
Publications of the South African Institute for Medical Research,,1923?,AR,SHELF RANGE 5- Side A,,
Publications Societe Chimie Biologique,,1913-1947,1st Floor,Row P,,
Publications South African Institute for Medical Research,,1953-54,1st Floor,Row P,,
Publications. Dept. of Orthopaedic Surgery,,1955-1961,4th Floor,Row C,,
Publicazioni Sci. Inst. Carlo Forlanini,,1883-1884,AR,SHELF RANGE 5- Side A,,
Publishers Record,,1939,1st Floor,Row P,,
Puericulture,,1935,1st Floor,Row P,,
Puericulture Espanola,,1921-1925,1st Floor,Row P,,
Puericulture et la Reviue Profesionelle,,1954,1st Floor,Row P,,
Puericulture; revista mexicana de Proteccion integral a la infancia,v1,1950,4th Floor,Row C,,
Puerot Rican Journal of Public Health and Tropical Medicine,v1-2,1938-1945,4th Floor,Row C,,
Puerto Rico Health Bulletin,,1982-2000,1st Floor,Row P,,
